Series Name,Series Code,Country Name,cca3,density_2020
Population density (people per sq. km of land area),EN.POP.DNST,Spain,ESP,94.815383748924
Population density (people per sq. km of land area),EN.POP.DNST,Sri Lanka,LKA,354.332363401229
Population density (people per sq. km of land area),EN.POP.DNST,St. Kitts and Nevis,KNA,183.238461538462
Population density (people per sq. km of land area),EN.POP.DNST,St. Lucia,LCA,293.831147540984
Population density (people per sq. km of land area),EN.POP.DNST,St. Martin (French part),MAF,651.06
Population density (people per sq. km of land area),EN.POP.DNST,St. Vincent and the Grenadines,VCT,268.28717948718
Population density (people per sq. km of land area),EN.POP.DNST,Sudan,SDN,23.7904100642398
Population density (people per sq. km of land area),EN.POP.DNST,Suriname,SUR,3.89144230769231
Population density (people per sq. km of land area),EN.POP.DNST,Sweden,SWE,25.4207233696844
Population density (people per sq. km of land area),EN.POP.DNST,Switzerland,CHE,218.599059672745
Population density (people per sq. km of land area),EN.POP.DNST,Syrian Arab Republic,SYR,113.122011653869
Population density (people per sq. km of land area),EN.POP.DNST,Tajikistan,TJK,68.7600475538583
Population density (people per sq. km of land area),EN.POP.DNST,Tanzania,TZA,69.6596500338677
Population density (people per sq. km of land area),EN.POP.DNST,Thailand,THA,139.90421421441
Population density (people per sq. km of land area),EN.POP.DNST,Timor-Leste,TLS,87.4240080699395
Population density (people per sq. km of land area),EN.POP.DNST,Togo,TGO,155.223018937305
Population density (people per sq. km of land area),EN.POP.DNST,Tonga,TON,146.186111111111
Population density (people per sq. km of land area),EN.POP.DNST,Trinidad and Tobago,TTO,295.935087719298
Population density (people per sq. km of land area),EN.POP.DNST,Tunisia,TUN,78.2809152935118
Population density (people per sq. km of land area),EN.POP.DNST,Turkiye,TUR,109.31931967309
Population density (people per sq. km of land area),EN.POP.DNST,Turkmenistan,TKM,13.3007852233311
Population density (people per sq. km of land area),EN.POP.DNST,Turks and Caicos Islands,TCA,46.6063157894737
Population density (people per sq. km of land area),EN.POP.DNST,Tuvalu,TUV,368.966666666667
Population density (people per sq. km of land area),EN.POP.DNST,Uganda,UGA,221.447292040694
Population density (people per sq. km of land area),EN.POP.DNST,Ukraine,UKR,76.1685346910597
